from,fromType,to,toType
futh president hector hernandez,0,hector hernandez,1
g-2 lieutenant colonel guillermo wong,0,guillermo wong,1
gabriel jaime santamaria montoya,1,gabriel,2
gabriel jaime santamaria montoya,1,jaime,2
gabriel jaime santamaria montoya,1,montoya,2
gabriel jaime santamaria montoya,1,santamaria,2
gam president nineth de garcia,0,nineth de garcia,1
garcia alvarado,1,alvarado,2
garcia alvarado,1,garcia,2
garcia del solar,1,garcia,2
garcia del solar,1,solar,2
gaspar ilom,1,gaspar,2
gaspar ilom,1,ilom,2
gc lieutenant jorge cieza lacho,0,jorge cieza lacho,1
gen botero,0,botero,1
gen bustillo,0,bustillo,1
gen cabezas,0,cabezas,1
gen casadiego,0,casadiego,1
gen casadiego torrado,0,casadiego torrado,1
gen gomez,0,gomez,1
gen gomez padilla,0,gomez padilla,1
gen gustavo leigh,0,gustavo leigh,1
gen hector gramejo,0,hector gramejo,1
gen larios,0,larios,1
gen maza,0,maza,1
gen maza marquez,0,maza marquez,1
gen medina,0,medina,1
gen molina,0,molina,1
gen noriega,0,noriega,1
gen padilla,0,padilla,1
gen rafael villamariona,0,rafael villamariona,1
gen romero,0,romero,1
gen vaca perilla,0,vaca perilla,1
gen vargas,0,vargas,1
gen victor hugo barriera barriera,0,victor hugo barriera barriera,1
gen vides,0,vides,1
gen vides casanova,0,vides casanova,1
gen. botero,0,botero,1
gen. bustillo,0,bustillo,1
gen. gramajo,0,gramajo,1
gen. gustavo leigh,0,gustavo leigh,1
gen. larios,0,larios,1
gen. leigh,0,leigh,1
gen. pinochet,0,pinochet,1
gen. ruiz,0,ruiz,1
gen. villamariona,0,villamariona,1
genaro marquez,1,genaro,2
genaro marquez,1,marquez,2
general alejandro gramajo,0,alejandro gramajo,1
general alfonso vaca perilla,0,alfonso vaca perilla,1
general alfredo nunez allende,0,alfredo nunez allende,1
general augusto pinochet,0,augusto pinochet,1
general augusto rodrigues arango of the southern unified command,0,augusto rodrigues arango,1
general benjamin franklin,0,benjamin franklin,1
general carlos arturo casadiego,0,carlos arturo casadiego,1
general carlos arturo casadiego torrado,0,carlos arturo casadiego torrado,1
general carlos eugenio vides casanova,0,carlos eugenio vides casanova,1
general carlos parera,0,carlos parera,1
general carlos prats,0,carlos prats,1
general carlos vides casanova,0,carlos vides casanova,1
general casadiego,0,casadiego,1
general commander carlos pizarro leongomez,0,carlos pizarro leongomez,1
general contreras,0,contreras,1
general de pobres,0,de pobres,1
general director colonel maximiliano leiva,0,maximiliano leiva,1
general director general alfredo maza marquez,0,alfredo maza marquez,1
general enrique franco,0,enrique franco,1
general enrique lopez albujar,0,enrique lopez albujar,1
general enrique morel,0,enrique morel,1
general enrique ruiz,0,enrique ruiz,1
general escalon drive,0,escalon drive,1
general eugenio vides casanova,0,eugenio vides casanova,1
general felipe carvajal,0,felipe carvajal,1
general fernando reyes roca,0,fernando reyes roca,1
general filmo lopez uzcategui,0,filmo lopez uzcategui,1
general gerardo barrios,0,gerardo barrios,1
general german sepulveda sierra,0,german sepulveda sierra,1
general gomez padilla,0,gomez padilla,1
general gramajo morales,0,gramajo morales,1
general guerrero paz,0,guerrero paz,1
general guillermo arciniegas,0,guillermo arciniegas,1
general gustavo alvarez,0,gustavo alvarez,1
general gustavo alvarez martinez,0,gustavo alvarez martinez,1
general gustavo leigh guzman,0,gustavo leigh guzman,1
general hector alejandro gramajo,0,hector alejandro gramajo,1
general hector gramajo,0,hector gramajo,1
general hector gramajo morales,0,hector gramajo morales,1
general hector gramejo,0,hector gramejo,1
general hugo salas,0,hugo salas,1
general humberto larios,0,humberto larios,1
general humberto regalado hernandez,0,humberto regalado hernandez,1
general humberto romero,0,humberto romero,1
general isidro caceres,0,isidro caceres,1
general jaime ruiz barrera,0,jaime ruiz barrera,1
general jorge felix,0,jorge felix,1
general jorge rabanal,0,jorge rabanal,1
general jose guillermo medina sanchez,0,jose guillermo medina sanchez,1
general jose manuel bonnet,0,jose manuel bonnet,1
general juan rafael,0,juan rafael,1
general juan rafael bustillo,0,juan rafael bustillo,1
general juan salcedo lora,0,juan salcedo lora,1
general julio velasquez giacarini,0,julio velasquez giacarini,1
general kjell laugerud,0,kjell laugerud,1
general larios,0,larios,1
general leigh,0,leigh,1
general luis garcia meza,0,luis garcia meza,1
general manager julio rocha,0,julio rocha,1
general manager mario alfredo cabrera,0,mario alfredo cabrera,1
general manual antonio noriega,0,manual antonio noriega,1
general manuel ibedaca romero,0,manuel ibedaca romero,1
general manuel jaime guerrero paz,0,manuel jaime guerrero paz,1
general manuel noriega,0,manuel noriega,1
general mario molina,0,mario molina,1
general maza marquez,0,maza marquez,1
general miguel alfredo maza,0,miguel alfredo maza,1
general miguel alfredo maza marquez,0,miguel alfredo maza marquez,1
general miguel antonio gomez padilla,0,miguel antonio gomez padilla,1
general miguel gomez padilla,0,miguel gomez padilla,1
general miguel maza,0,miguel maza,1
general miguel maza marquez,0,miguel maza marquez,1
general miguel padilla,0,miguel padilla,1
general mr. javier perez de cuellar,0,javier perez de cuellar,1
general noriega,0,noriega,1
general octavio vargas silva,0,octavio vargas silva,1
general omar torrijos,0,omar torrijos,1
general oscar botero restrepo,0,oscar botero restrepo,1
general oscar vargas,0,oscar vargas,1
general osvaldo diaz,0,osvaldo diaz,1
general osvaldo diaz salvador,0,osvaldo diaz salvador,1
general padilla,0,padilla,1
general pinochet,0,pinochet,1
general prosecutor dr mauricio eduardo colorado,0,mauricio eduardo colorado,1
general rafael antonio villamariona,0,rafael antonio villamariona,1
general rafael bustillo,0,rafael bustillo,1
general rafael bustillos,0,rafael bustillos,1
general rafael humberto larios,0,rafael humberto larios,1
general rafael humberto larios lopez,0,rafael humberto larios lopez,1
general rafael larios,0,rafael larios,1
general rafael padilla,0,rafael padilla,1
general rafael villamariona,0,rafael villamariona,1
general ramon eduardo niebles uzcategui,0,ramon eduardo niebles uzcategui,1
general ramon guillen davila,0,ramon guillen davila,1
general ramon niebles uzcategui,0,ramon niebles uzcategui,1
"general raul reyes, famae director",0,raul reyes,1
general rodrigues arango,0,rodrigues arango,1
general rolando cabezas alarcon,0,rolando cabezas alarcon,1
general ruben romero,0,ruben romero,1
general secretary volodia teitelboim,0,volodia teitelboim,1
general sir wilfred jacobs,0,sir wilfred jacobs,1
general thurman,0,thurman,1
general villamariona,0,villamariona,1
george bush,1,bush,2
george bush,1,george,2
george foulkes,1,foulkes,2
george foulkes,1,george,2
geovanni cardenas,1,cardenas,2
geovanni cardenas,1,geovanni,2
gerardo barrios,1,barrios,2
gerardo barrios,1,gerardo,2
gerardo lechevalier,1,gerardo,2
gerardo lechevalier,1,lechevalier,2
german alberto marin ramos,0,alberto marin ramos,1
german belandria,0,german belandria,1
german belandria,1,belandria,2
german belandria,1,german,2
german gonzalez ramirez,0,gonzalez,1
german isaza robledo,0,german isaza robledo,1
german isaza robledo,1,german,2
german isaza robledo,1,isaza,2
german isaza robledo,1,robledo,2
german montoya,1,german,2
german montoya,1,montoya,2
german sepulveda sierra,1,german,2
german sepulveda sierra,1,sepulveda,2
german sepulveda sierra,1,sierra,2
german sierra medina,1,german,2
german sierra medina,1,medina,2
german sierra medina,1,sierra,2
gil jaramillo,1,gil,2
gil jaramillo,1,jaramillo,2
gilberto vieira,1,gilberto,2
gilberto vieira,1,vieira,2
gilda flores,1,flores,2
gilda flores,1,gilda,2
gomez padilla,1,gomez,2
gomez padilla,1,padilla,2
gonzalo gonzalez,1,gonzalez,2
gonzalo gonzalez,1,gonzalo,2
gonzalo gonzalez rivera,1,gonzalez,2
gonzalo gonzalez rivera,1,gonzalo,2
gonzalo gonzalez rivera,1,rivera,2
gonzalo menendez,1,gonzalo,2
gonzalo menendez,1,menendez,2
gonzalo rodriguez gacha,1,gacha,2
gonzalo rodriguez gacha,1,gonzalo,2
gonzalo rodriguez gacha,1,rodriguez,2
"gonzalo rodriguez gacha alias ""the mexican,""",0,gonzalo rodriguez gacha,1
"gonzalo rodriguez gacha alias ""the mexican,""",0,the mexican,1
"gonzalo rodriguez gacha, a.k.a the mexican",0,gonzalo rodriguez gacha,1
"gonzalo rodriguez gacha, a.k.a the mexican",0,the mexican,1
"gonzalo rodriguez gacha, alias ""el mejicano,""",0,gonzalo rodriguez gacha,1
"gonzalo rodriguez gacha, alias the mexican",0,gonzalo rodriguez gacha,1
"gonzalo rodriguez gacha, alias the mexican",0,the mexican,1
"gonzalo rodriguez gacha, also known as ""el mexicano,""",0,el mexicano,1
"gonzalo rodriguez gacha, also known as ""el mexicano,""",0,gonzalo rodriguez gacha,1
gonzalo rojas,1,gonzalo,2
gonzalo rojas,1,rojas,2
government minister andres vallejo,0,andres vallejo,1
government minister carlos lemos,0,carlos lemos,1
government minister carlos lemos simmonds,0,carlos lemos simmonds,1
government minister carlos morales,0,carlos morales,1
government minister cesar gaviria trujillo,0,cesar gaviria trujillo,1
government minister horacio serpa uribe,0,horacio serpa uribe,1
government minister luis felix lopez,0,luis felix lopez,1
government minister orlando vasquez,0,orlando vasquez,1
government minister orlando vasquez velasquez,0,orlando vasquez velasquez,1
government minister raul orejuela,0,raul orejuela,1
government minister roberto valle,0,roberto valle,1
government minister roberto valle baldizan,0,roberto valle baldizan,1
governor fernando iraconi,0,fernando iraconi,1
governor montoya,0,montoya,1
gramajo morales,1,gramajo,2
gramajo morales,1,morales,2
gregorio rosa chavez,1,chavez,2
gregorio rosa chavez,1,gregorio,2
gregorio rosa chavez,1,rosa,2
gregory fronius,1,fronius,2
gregory fronius,1,gregory,2
grover pango,1,grover,2
grover pango,1,pango,2
guard acalardo jara soto,0,acalardo jara soto,1
guard jose zina caetano,0,jose zina caetano,1
guatemala governor mario logorgon,0,mario logorgon,1
guatemala president vinicio cerezo,0,vinicio cerezo,1
guatemalan archbishop prospero penados del barrio,0,prospero penados del barrio,1
guatemalan attorney gilda flores,0,gilda flores,1
guatemalan foreign minister ariel irias rivera,0,ariel irias rivera,1
guatemalan foreign minister ariel rivera irias,0,ariel rivera irias,1
guatemalan foreign minister mario palencia,0,mario palencia,1
guatemalan gilda flores,0,gilda flores,1
guatemalan government spokeswoman claudia arenas,0,claudia arenas,1
guatemalan lawyer hilda amparo flores arevalo,0,hilda amparo flores arevalo,1
guatemalan political leader gilda flores,0,gilda flores,1
guatemalan politician gilda flores,0,gilda flores,1
guatemalan president marco vinicio cerezo arevalo,0,marco vinicio cerezo arevalo,1
guatemalan president vinicio cerezo,0,vinicio cerezo,1
guatemalan president vinicio cerezo arevalo,0,vinicio cerezo arevalo,1
guatemalan social democratic leader gilda flores,0,gilda flores,1
guatemalan vice president roberto carpio,0,roberto carpio,1
guerrero paz,1,guerrero,2
guerrero paz,1,paz,2
guevara cerritos,1,cerritos,2
guevara cerritos,1,guevara,2
guido parra,1,guido,2
guido parra,1,parra,2
guillermo alfredo benavides,1,alfredo,2
guillermo alfredo benavides,1,benavides,2
guillermo alfredo benavides,1,guillermo,2
guillermo alfredo benavides moreno,1,alfredo,2
guillermo alfredo benavides moreno,1,benavides,2
guillermo alfredo benavides moreno,1,guillermo,2
guillermo alfredo benavides moreno,1,moreno,2
guillermo arciniegas,1,arciniegas,2
guillermo arciniegas,1,guillermo,2
guillermo arthur,1,arthur,2
guillermo arthur,1,guillermo,2
guillermo benavides,1,benavides,2
guillermo benavides,1,guillermo,2
guillermo caceres,1,caceres,2
guillermo caceres,1,guillermo,2
guillermo cano,1,cano,2
guillermo cano,1,guillermo,2
guillermo endara,1,endara,2
guillermo endara,1,guillermo,2
guillermo galvan,1,galvan,2
guillermo galvan,1,guillermo,2
guillermo gonzalez calderoni,1,calderoni,2
guillermo gonzalez calderoni,1,gonzalez,2
guillermo gonzalez calderoni,1,guillermo,2
guillermo larco cox,1,cox,2
guillermo larco cox,1,guillermo,2
guillermo larco cox,1,larco,2
guillermo leon velasquez,1,guillermo,2
guillermo leon velasquez,1,leon,2
guillermo leon velasquez,1,velasquez,2
guillermo medina,1,guillermo,2
guillermo medina,1,medina,2
guillermo rodriguez velasquez,1,guillermo,2
guillermo rodriguez velasquez,1,rodriguez,2
guillermo rodriguez velasquez,1,velasquez,2
guillermo rojas,1,guillermo,2
guillermo rojas,1,rojas,2
guillermo torre alday,1,alday,2
guillermo torre alday,1,guillermo,2
guillermo torre alday,1,torre,2
guillermo ungo,1,guillermo,2
guillermo ungo,1,ungo,2
guillermo wong,1,guillermo,2
guillermo wong,1,wong,2
gustavo adolfo leiva,1,adolfo,2
gustavo adolfo leiva,1,gustavo,2
gustavo adolfo leiva,1,leiva,2
gustavo alvarez,1,alvarez,2
gustavo alvarez,1,gustavo,2
gustavo alvarez martinez,1,alvarez,2
gustavo alvarez martinez,1,gustavo,2
gustavo alvarez martinez,1,martinez,2
gustavo espinosa,1,espinosa,2
gustavo espinosa,1,gustavo,2
gustavo leigh,1,gustavo,2
gustavo leigh,1,leigh,2
gustavo leigh guzman,1,gustavo,2
gustavo leigh guzman,1,guzman,2
gustavo leigh guzman,1,leigh,2
haroldo juarez,1,haroldo,2
haroldo juarez,1,juarez,2
health minister paul caro gamarra,0,paul caro gamarra,1
hector alejandro gramajo,1,alejandro,2
hector alejandro gramajo,1,gramajo,2
hector alejandro gramajo,1,hector,2
hector arevalo,1,arevalo,2
hector arevalo,1,hector,2
hector enrique santos,1,enrique,2
hector enrique santos,1,hector,2
hector enrique santos,1,santos,2
hector gatti,1,gatti,2
hector gatti,1,hector,2
hector gramajo,1,gramajo,2
hector gramajo,1,hector,2
hector gramajo morales,1,gramajo,2
hector gramajo morales,1,hector,2
hector gramajo morales,1,morales,2
hector gramejo,1,gramejo,2
hector gramejo,1,hector,2
hector heriberto hernandez,1,hector,2
hector heriberto hernandez,1,heriberto,2
hector heriberto hernandez,1,hernandez,2
hector hernandez,1,hector,2
hector hernandez,1,hernandez,2
hector hormachea,1,hector,2
hector hormachea,1,hormachea,2
hector jimenez rodriguez,1,hector,2
hector jimenez rodriguez,1,jimenez,2
hector jimenez rodriguez,1,rodriguez,2
hector musio,1,hector,2
hector musio,1,musio,2
hector oqueli,1,hector,2
hector oqueli,1,oqueli,2
hector oqueli colindres,1,colindres,2
hector oqueli colindres,1,hector,2
hector oqueli colindres,1,oqueli,2
hector ormachea,1,hector,2
hector ormachea,1,ormachea,2
hector santos hernandez,1,hector,2
hector santos hernandez,1,hernandez,2
hector santos hernandez,1,santos,2
hegejam seter,1,hegejam,2
hegejam seter,1,seter,2
heraclides sucre,1,heraclides,2
heraclides sucre,1,sucre,2
heriberto hernandez,1,heriberto,2
heriberto hernandez,1,hernandez,2
hermogenes carrillo,1,carrillo,2
hermogenes carrillo,1,hermogenes,2
hernan felipe errazuriz,1,errazuriz,2
hernan felipe errazuriz,1,felipe,2
hernan felipe errazuriz,1,hernan,2
hilda amparo flores arevalo,1,amparo,2
hilda amparo flores arevalo,1,arevalo,2
hilda amparo flores arevalo,1,flores,2
hilda amparo flores arevalo,1,hilda,2
honduran archbishop msgr hector enrique santos,0,hector enrique santos,1
honduran army spokesman colonel manuel enrique suarez,0,manuel enrique suarez,1
honduran carlos manuel lopez mata,0,carlos manuel lopez mata,1
honduran citizens rosalio mejia rodriguez,0,rosalio mejia rodriguez,1
honduran foreign minister carlos lopez contreras,0,carlos lopez contreras,1
honduran foreign minister guillermo caceres,0,guillermo caceres,1
honduran foreign ministry spokesman eugenio castro,0,eugenio castro,1
honduran president jose azcona,0,jose azcona,1
honduran president jose azcona hoyo,0,jose azcona hoyo,1
honduran president jose azcona hoyos,0,jose azcona hoyos,1
honduran president jose simeon azcona hoyo,0,jose simeon azcona hoyo,1
horacio fernandez cutiello,1,cutiello,2
horacio fernandez cutiello,1,fernandez,2
horacio fernandez cutiello,1,horacio,2
horacio serpa uribe,1,horacio,2
horacio serpa uribe,1,serpa,2
horacio serpa uribe,1,uribe,2
hugo moran carranza,1,carranza,2
hugo moran carranza,1,hugo,2
hugo moran carranza,1,moran,2
hugo salas,1,hugo,2
hugo salas,1,salas,2
huila sibda aquino,1,aquino,2
huila sibda aquino,1,huila,2
huila sibda aquino,1,sibda,2
human rights attorney general gonzalo menendez,0,gonzalo menendez,1
human rights attorney gonzalo menendez,0,gonzalo menendez,1
human rights rapporteur professor pastor ridrejo,0,pastor ridrejo,1
humberto larios,1,humberto,2
humberto larios,1,larios,2
humberto murillo,1,humberto,2
humberto murillo,1,murillo,2
humberto regalado hernandez,1,hernandez,2
humberto regalado hernandez,1,humberto,2
humberto regalado hernandez,1,regalado,2
humberto romero,1,humberto,2
humberto romero,1,romero,2
ian alexander,1,alexander,2
ian alexander,1,ian,2
ignacio ellacuria,1,ellacuria,2
ignacio ellacuria,1,ignacio,2
ignacio martin baro,1,baro,2
ignacio martin baro,1,ignacio,2
ignacio martin baro,1,martin,2
ignacio velez escobar,1,escobar,2
ignacio velez escobar,1,ignacio,2
ignacio velez escobar,1,velez,2
immigration director colonel maximiliano leiva,0,maximiliano leiva,1
infrastructure minister moshe shahal,0,moshe shahal,1
inspector eulogio flores,0,eulogio flores,1
interior minister agustin mantilla,0,agustin mantilla,1
interior minister agustin matilla,0,agustin matilla,1
interior minister andres vallejo,0,andres vallejo,1
interior minister carlos a. morales villatoro,0,carlos a. morales villatoro,1
interior minister carlos caceres,0,carlos caceres,1
interior minister carlos lemos,0,carlos lemos,1
interior minister eduardo bauza,0,eduardo bauza,1
interior minister eduardo perez beltran,0,eduardo perez beltran,1
interior minister enrique krauss,0,enrique krauss,1
interior minister francisco merino,0,francisco merino,1
interior minister juan soria diaz,0,juan soria diaz,1
intransigent party deputy oscar alende,0,oscar alende,1
isidro caceres,1,caceres,2
isidro caceres,1,isidro,2
isidro lopez,1,isidro,2
isidro lopez,1,lopez,2
ismael ordaz,1,ismael,2
ismael ordaz,1,ordaz,2
israel galeano,1,galeano,2
israel galeano,1,israel,2
israeli ambassador daniyel moqedi,0,daniyel moqedi,1
italian citizen roberto victor carlini aroca,0,roberto victor carlini aroca,1
ivan ramirez quintero,1,ivan,2
ivan ramirez quintero,1,quintero,2
ivan ramirez quintero,1,ramirez,2
j. perez de cuellar,1,cuellar,2
j. perez de cuellar,1,j.,2
j. perez de cuellar,1,perez,2
jaime castillo velasco,1,castillo,2
jaime castillo velasco,1,jaime,2
jaime castillo velasco,1,velasco,2
jaime de la sotta,1,jaime,2
jaime de la sotta,1,sotta,2
jaime inzunza,1,inzunza,2
jaime inzunza,1,jaime,2
jaime pardo leal,1,jaime,2
jaime pardo leal,1,leal,2
jaime pardo leal,1,pardo,2
jaime paz zamora,1,jaime,2
jaime paz zamora,1,paz,2
jaime paz zamora,1,zamora,2
jaime quintero cardona,1,cardona,2
jaime quintero cardona,1,jaime,2
jaime quintero cardona,1,quintero,2
jaime roldos aguilera,1,aguilera,2
jaime roldos aguilera,1,jaime,2
jaime roldos aguilera,1,roldos,2
jaime ruiz barrera,1,barrera,2
jaime ruiz barrera,1,jaime,2
jaime ruiz barrera,1,ruiz,2
jaime tormo,1,jaime,2
jaime tormo,1,tormo,2
jaime ventura,1,jaime,2
jaime ventura,1,ventura,2
jair klein,1,jair,2
jair klein,1,klein,2
jairo ortega,1,jairo,2
jairo ortega,1,ortega,2
jairo otalora,1,jairo,2
jairo otalora,1,otalora,2
japanese prime minister noboru takeshita,0,noboru takeshita,1
jaramillo ossa,1,jaramillo,2
jaramillo ossa,1,ossa,2
jaramillo uribe,1,jaramillo,2
jaramillo uribe,1,uribe,2
javier perez de cuellar,1,cuellar,2
javier perez de cuellar,1,javier,2
javier perez de cuellar,1,perez,2
javier velasco,1,javier,2
javier velasco,1,velasco,2
jean bertrand aristide,1,aristide,2
jean bertrand aristide,1,bertrand,2
jean bertrand aristide,1,jean,2
jeff sino,1,jeff,2
jeff sino,1,sino,2
jesuist francisco estrada,0,francisco estrada,1
jesus antonio cordoba,1,antonio,2
jesus antonio cordoba,1,cordoba,2
jesus antonio cordoba,1,jesus,2
jesus emilio jaramillo,1,emilio,2
jesus emilio jaramillo,1,jaramillo,2
jesus emilio jaramillo,1,jesus,2
jesus fernandez,1,fernandez,2
jesus fernandez,1,jesus,2
jimmy carter,1,carter,2
jimmy carter,1,jimmy,2
joao baena soares,1,baena,2
joao baena soares,1,joao,2
joao baena soares,1,soares,2
joao clemente baena soares,1,baena,2
joao clemente baena soares,1,clemente,2
joao clemente baena soares,1,joao,2
joao clemente baena soares,1,soares,2
joaquin vallejo,1,joaquin,2
joaquin vallejo,1,vallejo,2
joaquin vallejo arbalaez,1,arbalaez,2
joaquin vallejo arbalaez,1,joaquin,2
joaquin vallejo arbalaez,1,vallejo,2
joaquin villalobos,1,joaquin,2
joaquin villalobos,1,villalobos,2
joaquin zenteno anaya,1,anaya,2
joaquin zenteno anaya,1,joaquin,2
joaquin zenteno anaya,1,zenteno,2
john marck jones,1,john,2
john marck jones,1,jones,2
john marck jones,1,marck,2
john st. luce,1,john,2
john st. luce,1,luce,2
john st. luce,1,st.,2
jorge cieza lacho,1,cieza,2
jorge cieza lacho,1,jorge,2
jorge cieza lacho,1,lacho,2
jorge ernesto ferrero echeverri,1,echeverri,2
jorge ernesto ferrero echeverri,1,ernesto,2
jorge ernesto ferrero echeverri,1,ferrero,2
jorge ernesto ferrero echeverri,1,jorge,2
jorge eslava,1,eslava,2
jorge eslava,1,jorge,2
jorge felix,1,felix,2
jorge felix,1,jorge,2
jorge humberto chalaria,1,chalaria,2
jorge humberto chalaria,1,humberto,2
jorge humberto chalaria,1,jorge,2
jorge luis,1,jorge,2
jorge luis,1,luis,2
jorge martinez,1,jorge,2
jorge martinez,1,martinez,2
jorge melendez,1,jorge,2
jorge melendez,1,melendez,2
jorge rabanal,1,jorge,2
jorge rabanal,1,rabanal,2
jorge raul lopez cubillos,1,cubillos,2
jorge raul lopez cubillos,1,jorge,2
jorge raul lopez cubillos,1,lopez,2
jorge raul lopez cubillos,1,raul,2
"jorge raul lopez cubillos, alias modesto",0,jorge raul lopez cubillos,1
"jorge raul lopez cubillos, alias modesto",0,modesto,1
jorge samudio,1,jorge,2
jorge samudio,1,samudio,2
jorge sedano gonzalez,1,gonzalez,2
jorge sedano gonzalez,1,jorge,2
jorge sedano gonzalez,1,sedano,2
jorge serrano gonzalez,1,gonzalez,2
jorge serrano gonzalez,1,jorge,2
jorge serrano gonzalez,1,serrano,2
jorge shafik handal,1,handal,2
jorge shafik handal,1,jorge,2
jorge shafik handal,1,shafik,2
jose alberto troncoso,1,alberto,2
jose alberto troncoso,1,jose,2
jose alberto troncoso,1,troncoso,2
jose alfonso chavez,1,alfonso,2
jose alfonso chavez,1,chavez,2
jose alfonso chavez,1,jose,2
jose alfonso chavez garcia,1,alfonso,2
jose alfonso chavez garcia,1,chavez,2
jose alfonso chavez garcia,1,garcia,2
jose alfonso chavez garcia,1,jose,2
jose anteguera,1,anteguera,2
jose anteguera,1,jose,2
jose antequera,1,antequera,2
jose antequera,1,jose,2
jose antonio rodriguez porth,1,antonio,2
jose antonio rodriguez porth,1,jose,2
jose antonio rodriguez porth,1,porth,2
jose antonio rodriguez porth,1,rodriguez,2
jose azcona,1,azcona,2
jose azcona,1,jose,2
jose azcona hoyo,1,azcona,2
jose azcona hoyo,1,hoyo,2
jose azcona hoyo,1,jose,2
jose azcona hoyos,1,azcona,2
jose azcona hoyos,1,hoyos,2
jose azcona hoyos,1,jose,2
jose cardenas guerra,1,cardenas,2
jose cardenas guerra,1,guerra,2
jose cardenas guerra,1,jose,2
jose gonzalo rodriguez gacha,1,gacha,2
jose gonzalo rodriguez gacha,1,gonzalo,2
jose gonzalo rodriguez gacha,1,jose,2
jose gonzalo rodriguez gacha,1,rodriguez,2
jose guillermo medina sanchez,1,guillermo,2
jose guillermo medina sanchez,1,jose,2
jose guillermo medina sanchez,1,medina,2
jose guillermo medina sanchez,1,sanchez,2
jose ignacio ellacuria,1,ellacuria,2
jose ignacio ellacuria,1,ignacio,2
jose ignacio ellacuria,1,jose,2
jose javier rivera,1,javier,2
jose javier rivera,1,jose,2
jose javier rivera,1,rivera,2
jose luis canales,1,canales,2
jose luis canales,1,jose,2
jose luis canales,1,luis,2
jose luis fernandez valoni,1,fernandez,2
jose luis fernandez valoni,1,jose,2
jose luis fernandez valoni,1,luis,2
jose luis fernandez valoni,1,valoni,2
jose luis grande preza,1,grande,2
jose luis grande preza,1,jose,2
jose luis grande preza,1,luis,2
jose luis grande preza,1,preza,2
jose luis lacunza,1,jose,2
jose luis lacunza,1,lacunza,2
jose luis lacunza,1,luis,2
jose manuel bonnet,1,bonnet,2
jose manuel bonnet,1,jose,2
jose manuel bonnet,1,manuel,2
jose manuel pacas,1,jose,2
jose manuel pacas,1,manuel,2
jose manuel pacas,1,pacas,2
jose manuel pacas castro,1,castro,2
jose manuel pacas castro,1,jose,2
jose manuel pacas castro,1,manuel,2
jose manuel pacas castro,1,pacas,2
jose maria tojeira,1,jose,2
jose maria tojeira,1,maria,2
jose maria tojeira,1,tojeira,2
jose mario chicas diaz,1,chicas,2
jose mario chicas diaz,1,diaz,2
jose mario chicas diaz,1,jose,2
jose mario chicas diaz,1,mario,2
jose napoleon duarte,1,duarte,2
jose napoleon duarte,1,jose,2
jose napoleon duarte,1,napoleon,2
jose noe rios,1,jose,2
jose noe rios,1,noe,2
jose noe rios,1,rios,2
jose rafael avello silva,1,avello,2
jose rafael avello silva,1,jose,2
jose rafael avello silva,1,rafael,2
jose rafael avello silva,1,silva,2
"jose rafael avello silva, also known as el mono avello",0,el mono avello,1
"jose rafael avello silva, also known as el mono avello",0,jose rafael avello silva,1
jose rene rodriguez,1,jose,2
jose rene rodriguez,1,rene,2
jose rene rodriguez,1,rodriguez,2
jose sarney,1,jose,2
jose sarney,1,sarney,2
jose simeon azcona hoyo,1,azcona,2
jose simeon azcona hoyo,1,hoyo,2
jose simeon azcona hoyo,1,jose,2
jose simeon azcona hoyo,1,simeon,2
jose toribio merino,1,jose,2
jose toribio merino,1,merino,2
jose toribio merino,1,toribio,2
jose toribio merino castro,1,castro,2
jose toribio merino castro,1,jose,2
jose toribio merino castro,1,merino,2
jose toribio merino castro,1,toribio,2
jose urbulu simo,1,jose,2
jose urbulu simo,1,simo,2
jose urbulu simo,1,urbulu,2
jose vicente rangel,1,jose,2
jose vicente rangel,1,rangel,2
jose vicente rangel,1,vicente,2
jose zina caetano,1,caetano,2
jose zina caetano,1,jose,2
jose zina caetano,1,zina,2
journalist bernardett pardo,0,bernardett pardo,1
journalist eliana henriquez,0,eliana henriquez,1
journalist guillermo cano,0,guillermo cano,1
journalist jose vicente rangel,0,jose vicente rangel,1
journalist roberto,0,roberto,1
journalist roberto navas,0,roberto navas,1
juan almendares bonilla,1,almendares,2
juan almendares bonilla,1,bonilla,2
juan almendares bonilla,1,juan,2
juan antonio martinez,1,antonio,2
juan antonio martinez,1,juan,2
juan antonio martinez,1,martinez,2
juan antonio martinez varela,1,antonio,2
juan antonio martinez varela,1,juan,2
juan antonio martinez varela,1,martinez,2
juan antonio martinez varela,1,varela,2
juan carbone herrera,1,carbone,2
juan carbone herrera,1,herrera,2
juan carbone herrera,1,juan,2
juan carlos carrillo schlenker,1,carlos,2
juan carlos carrillo schlenker,1,carrillo,2
juan carlos carrillo schlenker,1,juan,2
juan carlos carrillo schlenker,1,schlenker,2
juan carlos duarte,1,carlos,2
juan carlos duarte,1,duarte,2
juan carlos duarte,1,juan,2
juan carlos duran,1,carlos,2
juan carlos duran,1,juan,2
juan carlos fernandez cid,1,carlos,2
juan carlos fernandez cid,1,cid,2
juan carlos fernandez cid,1,fernandez,2
juan carlos fernandez cid,1,juan,2
juan carlos pastrana,1,carlos,2
juan carlos pastrana,1,juan,2
juan carlos pastrana,1,pastrana,2
juan carlos vega llona,1,carlos,2
juan carlos vega llona,1,juan,2
juan carlos vega llona,1,llona,2
