n1,n2,score
justice carlos valencia,magistrate carlos valencia,1.00
justice carlos valencia,magistrate carlos valencia garcia,0.17
justice carlos valencia,superior criminal court judge carlos valencia garcia,0.17
justice carlos valencia garcia,colombian justice carlos valencia,0.17
justice carlos valencia garcia,judge carlos valencia,0.17
justice carlos valencia garcia,judge valencia garcia,0.19
justice carlos valencia garcia,justice carlos valencia,0.17
justice carlos valencia garcia,magistrate carlos valencia,0.17
justice carlos valencia garcia,magistrate carlos valencia garcia,1.00
justice carlos valencia garcia,superior criminal court judge carlos valencia garcia,1.00
justice maria elena diaz,judge maria elena diaz,1.00
justice maria elena diaz,judge maria helena diaz,0.12
justice maria elena diaz,soldier jose mario chicas diaz,0.05
justice minister andres vallejo,ecuadoran government minister andres vallejo,1.00
justice minister andres vallejo,government minister andres vallejo,1.00
justice minister andres vallejo,interior minister andres vallejo,1.00
justice minister dr oscar alfredo santamaria,justice minister oscar alfredo santamaria,1.00
justice minister dr oscar alfredo santamaria,justice minister oscar santamaria,0.19
justice minister dr oscar alfredo santamaria,salvadoran justice minister oscar santamaria,0.19
justice minister julio alfredo samayoa,dr julio alfredo samayoa,1.00
justice minister monica de greiff,colombian justice minister monica de greiff,1.00
justice minister monica de greiff,former colombian justice minister monica de greiff,1.00
justice minister monica de greiff,former justice minister monica de greiff,1.00
justice minister oscar alfredo santamaria,justice minister dr oscar alfredo santamaria,1.00
justice minister oscar alfredo santamaria,justice minister oscar santamaria,0.19
justice minister oscar alfredo santamaria,salvadoran justice minister oscar santamaria,0.19
justice minister oscar santamaria,justice minister dr oscar alfredo santamaria,0.20
justice minister oscar santamaria,justice minister oscar alfredo santamaria,0.20
justice minister oscar santamaria,salvadoran justice minister oscar santamaria,1.00
justice minister ricardo arias calderon,dr ricardo arias calderon,1.00
justice minister ricardo arias calderon,vice president ricardo arias calderon,1.00
justice minister roberto salazar,justice minister roberto salazar manrique,1.00
justice minister roberto salazar manrique,justice minister roberto salazar,1.00
labor leader febe elizabeth velasquez,fenastras leader febe elizabeth velasquez,1.00
labor leader febe elizabeth velasquez,fenastras leader fede elizabeth velasquez,0.16
labor leader febe elizabeth velasquez,leader febe elizabeth velasquez,1.00
labor leader febe elizabeth velasquez,leftist leader fede elizabeth velasquez,0.16
labor leader febe elizabeth velasquez,opposition labor leader febe elizabeth velazquez,0.29
labor leader febe elizabeth velasquez,opposition leader elizabeth velazquez,0.10
labor leader febe elizabeth velasquez,the well-known union leader elizabeth velazquez,0.10
lawyer patricio aylwin,chilean president patricio aylwin,1.00
lawyer patricio aylwin,opposition leader patricio aylwin,1.00
lawyer patricio aylwin,president patricio aylwin,1.00
leader antonio cafiero,justicialist leader antonio caffiero,0.08
leader bernardo jaramillo,colombian judge bernardo jaramillo uribe,0.22
leader bernardo jaramillo,patriotic union [up] president bernardo jaramillo ossa,0.22
leader bernardo jaramillo,president bernardo jaramillo,1.00
leader carlos pizarro leongomez,general commander carlos pizarro leongomez,1.00
leader carlos pizarro leongomez,m-19 [19 april movement] president carlos pizarro leongomez,1.00
leader carlos pizarro leongomez,m-19 commander carlos pizarro,0.11
leader carlos pizarro leongomez,m-19 commander carlos pizarro leongomez,1.00
leader carlos pizarro leongomez,m-19 leader carlos pizarro,0.11
leader carlos pizarro leongomez,m-19 leader pizarro leongomez,0.31
leader carlos pizarro leongomez,mr. carlos pizarro leongomez,1.00
leader carlos ruig,representative carlos ruig,1.00
leader eduardo colindres,dr eduardo colindres,1.00
leader febe elizabeth velasquez,fenastras leader febe elizabeth velasquez,1.00
leader febe elizabeth velasquez,fenastras leader fede elizabeth velasquez,0.16
leader febe elizabeth velasquez,labor leader febe elizabeth velasquez,1.00
leader febe elizabeth velasquez,leftist leader fede elizabeth velasquez,0.16
leader febe elizabeth velasquez,opposition labor leader febe elizabeth velazquez,0.29
leader febe elizabeth velasquez,opposition leader elizabeth velazquez,0.10
leader febe elizabeth velasquez,the well-known union leader elizabeth velazquez,0.10
leader jaramillo ossa,dr jaramillo ossa,1.00
leader jaramillo ossa,patriotic union [up] president bernardo jaramillo ossa,0.28
leftist leader fede elizabeth velasquez,fenastras leader febe elizabeth velasquez,0.14
leftist leader fede elizabeth velasquez,fenastras leader fede elizabeth velasquez,1.00
leftist leader fede elizabeth velasquez,labor leader febe elizabeth velasquez,0.14
leftist leader fede elizabeth velasquez,leader febe elizabeth velasquez,0.14
leftist leader fede elizabeth velasquez,opposition labor leader febe elizabeth velazquez,0.08
leftist leader fede elizabeth velasquez,opposition leader elizabeth velazquez,0.08
leftist leader fede elizabeth velasquez,the well-known union leader elizabeth velazquez,0.08
leftist salvadoran leader hector oqueli,dr. hector oqueli,1.00
leftist salvadoran leader hector oqueli,mnr leader hector oqueli,1.00
leftist salvadoran leader hector oqueli,salvadoran leftist leader hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,salvadoran opposition leader hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,salvadoran political leader hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,salvadoran social democratic leader hector oqueli,1.00
leftist salvadoran leader hector oqueli,salvadoran social democratic leader hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,salvadoran social democratic politician hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,secretary general hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,social democratic leader hector oqueli,1.00
leftist salvadoran leader hector oqueli,social democratic leader hector oqueli colindres,0.25
leftist salvadoran leader hector oqueli,the salvadoran political leader hector oqueli,1.00
legislative assembly president ricardo alvarenga valdivieso,congress president ricardo valdivieso,0.18
legislative assembly president ricardo alvarenga valdivieso,legislative assembly president ricardo valdivieso,0.18
legislative assembly president ricardo alvarenga valdivieso,national assembly president ricardo alvarenga valdivieso,1.00
legislative assembly president ricardo valdivieso,congress president ricardo valdivieso,1.00
legislative assembly president ricardo valdivieso,legislative assembly president ricardo alvarenga valdivieso,0.26
legislative assembly president ricardo valdivieso,national assembly president ricardo alvarenga valdivieso,0.26
legislative assembly vice president roberto angulo,deputy roberto angulo,1.00
legislative assembly vice president roberto angulo,vice president roberto angulo,1.00
liberal cesar gaviria trujillo,former government minister cesar gaviria trujillo,1.00
liberal cesar gaviria trujillo,government minister cesar gaviria trujillo,1.00
liberal cesar gaviria trujillo,liberal party candidate cesar gaviria trujillo,1.00
liberal leader federico estrada velez,liberal senator federico estrada velez,1.00
liberal leader federico estrada velez,senator estrada velez,0.21
liberal leader federico estrada velez,senator federico estrada velez,1.00
liberal leader luis carlos galan,candidate senator luis carlos galan,1.00
liberal leader luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
liberal leader luis carlos galan,colombian political leader luis carlos galan,1.00
liberal leader luis carlos galan,liberal party leader luis carlos galan,1.00
liberal leader luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
liberal leader luis carlos galan,liberal presidential candidate luis carlos galan,1.00
liberal leader luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
liberal leader luis carlos galan,senator luis carlos galan,1.00
liberal leader luis carlos galan,senator luis carlos galan sarmiento,0.25
liberal party candidate cesar gaviria trujillo,former government minister cesar gaviria trujillo,1.00
liberal party candidate cesar gaviria trujillo,government minister cesar gaviria trujillo,1.00
liberal party candidate cesar gaviria trujillo,liberal cesar gaviria trujillo,1.00
liberal party leader luis carlos galan,candidate senator luis carlos galan,1.00
liberal party leader luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
liberal party leader luis carlos galan,colombian political leader luis carlos galan,1.00
liberal party leader luis carlos galan,liberal leader luis carlos galan,1.00
liberal party leader luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
liberal party leader luis carlos galan,liberal presidential candidate luis carlos galan,1.00
liberal party leader luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
liberal party leader luis carlos galan,senator luis carlos galan,1.00
liberal party leader luis carlos galan,senator luis carlos galan sarmiento,0.25
liberal party leader luis carlos galan sarmiento,candidate senator luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,colombian liberal party candidate luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,colombian political leader luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,liberal leader luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,liberal party leader luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,liberal presidential candidate luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,liberal presidential candidate luis carlos galan sarmiento,1.00
liberal party leader luis carlos galan sarmiento,senator luis carlos galan,0.20
liberal party leader luis carlos galan sarmiento,senator luis carlos galan sarmiento,1.00
liberal president virgilio barco,colombia's president virgilio barco,1.00
liberal president virgilio barco,colombian leader virgilio barco,1.00
liberal president virgilio barco,colombian president virgilio barco,1.00
liberal president virgilio barco,colombian president virgilio barco vargas,0.33
liberal president virgilio barco,dr. virgilio barco,1.00
liberal president virgilio barco,president virgilio barco,1.00
liberal president virgilio barco,president virgilio barco vargas,0.33
liberal presidential candidate luis carlos galan,candidate senator luis carlos galan,1.00
liberal presidential candidate luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
liberal presidential candidate luis carlos galan,colombian political leader luis carlos galan,1.00
liberal presidential candidate luis carlos galan,liberal leader luis carlos galan,1.00
liberal presidential candidate luis carlos galan,liberal party leader luis carlos galan,1.00
liberal presidential candidate luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
liberal presidential candidate luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
liberal presidential candidate luis carlos galan,senator luis carlos galan,1.00
liberal presidential candidate luis carlos galan,senator luis carlos galan sarmiento,0.25
liberal presidential candidate luis carlos galan sarmiento,candidate senator luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,colombian liberal party candidate luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,colombian political leader luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,liberal leader luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,liberal party leader luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,liberal party leader luis carlos galan sarmiento,1.00
liberal presidential candidate luis carlos galan sarmiento,liberal presidential candidate luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,senator luis carlos galan,0.20
liberal presidential candidate luis carlos galan sarmiento,senator luis carlos galan sarmiento,1.00
liberal senator federico estrada velez,liberal leader federico estrada velez,1.00
liberal senator federico estrada velez,senator estrada velez,0.21
liberal senator federico estrada velez,senator federico estrada velez,1.00
liberal senator samper pizano,senator samper pisano,1.00
lieutenant colonel juan antonio martinez varela,presidency minister juan martinez,0.72
lieutenant colonel juan antonio martinez varela,salvadoran presidency minister juan antonio martinez,1.00
lieutenant espinoza,colonel espinoza,1.00
luis fernando galeano berrio (alias el negro),"colombian citizen jorge humberto chalaria, known as ""el negro,""",1.00
m-19 [19 april movement] president carlos pizarro leongomez,general commander carlos pizarro leongomez,1.00
m-19 [19 april movement] president carlos pizarro leongomez,leader carlos pizarro leongomez,1.00
m-19 [19 april movement] president carlos pizarro leongomez,m-19 commander carlos pizarro,0.11
m-19 [19 april movement] president carlos pizarro leongomez,m-19 commander carlos pizarro leongomez,1.00
m-19 [19 april movement] president carlos pizarro leongomez,m-19 leader carlos pizarro,0.11
m-19 [19 april movement] president carlos pizarro leongomez,m-19 leader pizarro leongomez,0.31
m-19 [19 april movement] president carlos pizarro leongomez,mr. carlos pizarro leongomez,1.00
m-19 commander carlos pizarro,general commander carlos pizarro leongomez,0.14
m-19 commander carlos pizarro,judge carlos meneses pizarro,0.14
m-19 commander carlos pizarro,leader carlos pizarro leongomez,0.14
m-19 commander carlos pizarro,m-19 [19 april movement] president carlos pizarro leongomez,0.14
m-19 commander carlos pizarro,m-19 commander carlos pizarro leongomez,0.14
m-19 commander carlos pizarro,m-19 leader carlos pizarro,1.00
m-19 commander carlos pizarro,mr. carlos pizarro leongomez,0.14
m-19 commander carlos pizarro leongomez,general commander carlos pizarro leongomez,1.00
m-19 commander carlos pizarro leongomez,leader carlos pizarro leongomez,1.00
m-19 commander carlos pizarro leongomez,m-19 [19 april movement] president carlos pizarro leongomez,1.00
m-19 commander carlos pizarro leongomez,m-19 commander carlos pizarro,0.11
m-19 commander carlos pizarro leongomez,m-19 leader carlos pizarro,0.11
m-19 commander carlos pizarro leongomez,m-19 leader pizarro leongomez,0.31
m-19 commander carlos pizarro leongomez,mr. carlos pizarro leongomez,1.00
m-19 leader carlos pizarro,general commander carlos pizarro leongomez,0.14
m-19 leader carlos pizarro,judge carlos meneses pizarro,0.14
m-19 leader carlos pizarro,leader carlos pizarro leongomez,0.14
m-19 leader carlos pizarro,m-19 [19 april movement] president carlos pizarro leongomez,0.14
m-19 leader carlos pizarro,m-19 commander carlos pizarro,1.00
m-19 leader carlos pizarro,m-19 commander carlos pizarro leongomez,0.14
m-19 leader carlos pizarro,mr. carlos pizarro leongomez,0.14
m-19 leader pizarro leongomez,general commander carlos pizarro leongomez,1.00
m-19 leader pizarro leongomez,leader carlos pizarro leongomez,1.00
m-19 leader pizarro leongomez,m-19 [19 april movement] president carlos pizarro leongomez,1.00
m-19 leader pizarro leongomez,m-19 commander carlos pizarro leongomez,1.00
m-19 leader pizarro leongomez,mr. carlos pizarro leongomez,1.00
madame cordovez,foreign affairs minister cordovez,1.00
madame cordovez,minister cordovez,1.00
magistrate carlos valencia,colombian justice carlos valencia,1.00
magistrate carlos valencia,judge carlos valencia,1.00
magistrate carlos valencia,justice carlos valencia,1.00
magistrate carlos valencia,justice carlos valencia garcia,0.17
magistrate carlos valencia,magistrate carlos valencia garcia,0.17
magistrate carlos valencia,superior criminal court judge carlos valencia garcia,0.17
magistrate carlos valencia garcia,colombian justice carlos valencia,0.17
magistrate carlos valencia garcia,judge carlos valencia,0.17
magistrate carlos valencia garcia,judge valencia garcia,0.19
magistrate carlos valencia garcia,justice carlos valencia,0.17
magistrate carlos valencia garcia,justice carlos valencia garcia,1.00
magistrate carlos valencia garcia,magistrate carlos valencia,0.17
magistrate carlos valencia garcia,superior criminal court judge carlos valencia garcia,1.00
magistrate mariela espinoza,judge mariela espinosa arango,1.00
maj d'aubuisson,major d'aubuisson,1.00
maj d'aubuisson,rightist deputy d'aubuisson,1.00
maj roberto d'aubuisson,extreme right-wing deputy roberto d'aubuisson,1.00
maj roberto d'aubuisson,former major roberto d'aubuisson,1.00
maj roberto d'aubuisson,major roberto d'aubuission,0.02
maj roberto d'aubuisson,major roberto d'aubuisson,1.00
maj roberto d'aubuisson,major roberto d'aubuisson arrieta,0.25
maj roberto d'aubuisson,rightist leader roberto d'aubuisson,1.00
maj roberto d'aubuisson,ultra-rightwing deputy roberto d'aubuisson,1.00
maj rodriguez hurtado,major rene rodriguez hurtado,0.19
maj rodriguez hurtado,major rodriguez hurtado,1.00
maj. rodriguez,minister rodriguez,1.00
major chavez caceres,army spokesman major mauricio chavez caceres,1.00
major chavez caceres,military spokesman mauricio chavez caceres,1.00
major d'aubuisson,maj d'aubuisson,1.00
major d'aubuisson,rightist deputy d'aubuisson,1.00
major general miguel gomez,general miguel antonio gomez padilla,1.00
major general miguel gomez,general miguel gomez padilla,1.00
major general miguel gomez,national police director miguel antonio gomez padilla,1.00
major giroldi,mrs giroldi,1.00
major gonzalo gonzalez,former mayor gonzalo gonzalez,1.00
major gonzalo gonzalez,major gonzalo gonzalez rivera,0.13
major gonzalo gonzalez rivera,former mayor gonzalo gonzalez,1.00
major gonzalo gonzalez rivera,major gonzalo gonzalez,1.00
major mauricio chavez,army spokesman major mauricio chavez caceres,1.00
major mauricio chavez,military spokesman mauricio chavez caceres,1.00
major rene rodriguez hurtado,maj rodriguez hurtado,1.00
major rene rodriguez hurtado,major rodriguez hurtado,1.00
major roberto d'aubuisson,extreme right-wing deputy roberto d'aubuisson,1.00
major roberto d'aubuisson,former major roberto d'aubuisson,1.00
major roberto d'aubuisson,maj roberto d'aubuisson,1.00
major roberto d'aubuisson,major roberto d'aubuission,0.02
major roberto d'aubuisson,major roberto d'aubuisson arrieta,0.25
major roberto d'aubuisson,rightist leader roberto d'aubuisson,1.00
major roberto d'aubuisson,ultra-rightwing deputy roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,extreme right-wing deputy roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,former major roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,maj roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,major roberto d'aubuission,0.09
major roberto d'aubuisson arrieta,major roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,rightist leader roberto d'aubuisson,1.00
major roberto d'aubuisson arrieta,ultra-rightwing deputy roberto d'aubuisson,1.00
major rodriguez hurtado,maj rodriguez hurtado,1.00
major rodriguez hurtado,major rene rodriguez hurtado,0.19
"manuel rugama, known as commander aureliano",commander aureliano,0.85
"manuel rugama, known as commander aureliano",contra commander manuel antonio rugama,0.15
"manuel rugama, known as commander aureliano","contra commander manuel rugama acevedo, alias ""aureliano.""",1.00
"manuel rugama, known as commander aureliano","nicaraguan contra commander manuel adan rugama, alias aureliano",1.00
marshal kim il-song,president kim il-song,1.00
marshal kim il-song,the great leader president kim il-song,1.00
mayor andres pastrana,bogota city mayor andres pastrana,1.00
mayor andres pastrana,bogota mayor andres pastrana,1.00
mayor andres pastrana,bogota mayor andres pastrana arango,0.18
mayor andres pastrana,dr. andres pastrana,1.00
mayor juan gomez martinez,medellin mayor juan gomez martinez,1.00
mayor juan gomez martinez,presidency minister juan martinez,0.06
mayor pedro jesus hernandez,ambassador jesus fernandez,0.08
mayor pedro jesus hernandez,arboledas mayor pedro jesus hernandez,1.00
mayor pedro jesus hernandez,costa rican ambassador jesus fernandez,0.08
medellin cartel boss pablo escobar gaviria,drug trafficker pablo escobar gaviria,1.00
medellin mayor juan gomez martinez,mayor juan gomez martinez,1.00
medellin mayor juan gomez martinez,presidency minister juan martinez,0.06
medellin police commander antonio mejia sanchez,metropolitan police chief antonio sanchez,0.63
metropolitan police chief antonio sanchez,medellin police commander antonio mejia sanchez,1.00
mexican attorney general enrique alvarez del castillo,attorney general enrique alvarez del castillo,1.00
mexican president carlos salinas,president carlos salinas de gortari,1.00
military spokesman mauricio chavez caceres,army spokesman major mauricio chavez caceres,1.00
military spokesman mauricio chavez caceres,major chavez caceres,0.12
military spokesman mauricio chavez caceres,major mauricio chavez,0.08
minister carlos lemos,colombian government minister carlos lemos,1.00
minister carlos lemos,colombian government minister carlos lemos simmonds,0.17
minister carlos lemos,communications minister carlos lemus,0.01
minister carlos lemos,dr. carlos lemos simmonds,0.17
minister carlos lemos,government minister carlos lemos,1.00
minister carlos lemos,government minister carlos lemos simmonds,0.17
minister carlos lemos,interior minister carlos lemos,1.00
minister carlos lemos,president carlos lemos,1.00
minister cordovez,foreign affairs minister cordovez,1.00
minister cordovez,madame cordovez,1.00
minister lemos simmonds,colombian government minister carlos lemos simmonds,1.00
minister lemos simmonds,dr. carlos lemos simmonds,1.00
minister lemos simmonds,government minister carlos lemos simmonds,1.00
minister mantilla,mr mantilla,1.00
minister rodriguez,maj. rodriguez,1.00
minister rodriguez porth,dr antonio rodriguez porth,0.19
minister rodriguez porth,dr jose antonio rodriguez porth,0.19
minister rodriguez porth,dr rodriguez porth,1.00
minister rodriguez porth,old presidency minister antonio rodriguez porth,0.19
minister rodriguez porth,presidency minister antonio rodriguez porth,0.19
minister rodriguez porth,presidency minister dr antonio rodriguez porth,0.19
minister rodriguez porth,presidency minister jose antonio rodriguez porth,0.19
minister rodriguez porth,salvadoran presidency minister antonio rodriguez porth,0.19
minister rodriguez porth,salvadoran presidency minister jose antonio rodriguez porth,0.19
minister secretary general of government oscar vargas,general oscar vargas,1.00
minister vargas,col vargas,1.00
minister vargas,colonel vargas,1.00
minister vargas,gen vargas,1.00
mnr leader hector oqueli,dr. hector oqueli,1.00
mnr leader hector oqueli,leftist salvadoran leader hector oqueli,1.00
mnr leader hector oqueli,salvadoran leftist leader hector oqueli colindres,0.25
mnr leader hector oqueli,salvadoran opposition leader hector oqueli colindres,0.25
mnr leader hector oqueli,salvadoran political leader hector oqueli colindres,0.25
mnr leader hector oqueli,salvadoran social democratic leader hector oqueli,1.00
mnr leader hector oqueli,salvadoran social democratic leader hector oqueli colindres,0.25
mnr leader hector oqueli,salvadoran social democratic politician hector oqueli colindres,0.25
mnr leader hector oqueli,secretary general hector oqueli colindres,0.25
mnr leader hector oqueli,social democratic leader hector oqueli,1.00
mnr leader hector oqueli,social democratic leader hector oqueli colindres,0.25
mnr leader hector oqueli,the salvadoran political leader hector oqueli,1.00
monsignor arnulfo romero,archbishop oscar arnulfo romero,0.21
monsignor arnulfo romero,monsignor oscar arnulfo romero,0.21
monsignor arnulfo romero,msgr arnulfo romero,1.00
monsignor arnulfo romero,msgr oscar arnulfo romero,0.21
monsignor arnulfo romero,salvadoran archbishop oscar arnulfo romero,0.21
monsignor arturo rivera y damas,archbishop arturo rivera,0.08
monsignor arturo rivera y damas,archbishop arturo rivera y damas,1.00
monsignor arturo rivera y damas,archbishop rivera y damas,0.31
monsignor arturo rivera y damas,monsignor rivera y damas,0.31
monsignor arturo rivera y damas,msgr arturo rivera y damas,1.00
monsignor arturo rivera y damas,msgr rivera y damas,0.31
monsignor arturo rivera y damas,salvadoran archbishop arturo rivera damas,0.21
monsignor gregorio rosa chavez,auxiliary bishop gregorio rosa chavez,1.00
monsignor gregorio rosa chavez,auxiliary bishop rosa chavez,0.11
monsignor gregorio rosa chavez,bishop gregorio rosa chavez,1.00
monsignor gregorio rosa chavez,msgr gregorio rosa chavez,1.00
monsignor gregorio rosa chavez,msgr rosa chavez,0.11
monsignor mario revollo bravo,cardinal mario revollo,0.17
monsignor mario revollo bravo,cardinal mario revollo bravo,1.00
monsignor oscar arnulfo romero,archbishop oscar arnulfo romero,1.00
monsignor oscar arnulfo romero,monsignor arnulfo romero,0.20
monsignor oscar arnulfo romero,msgr arnulfo romero,0.20
monsignor oscar arnulfo romero,msgr oscar arnulfo romero,1.00
monsignor oscar arnulfo romero,salvadoran archbishop oscar arnulfo romero,1.00
monsignor rivera y damas,archbishop arturo rivera y damas,0.32
monsignor rivera y damas,archbishop rivera y damas,1.00
monsignor rivera y damas,monsignor arturo rivera y damas,0.32
monsignor rivera y damas,msgr arturo rivera y damas,0.32
monsignor rivera y damas,msgr rivera y damas,1.00
monsignor romero,archbishop romero,1.00
monsignor romero,gen romero,1.00
monsignor romero,msgr romero,1.00
monsignor romero,msgr romero pay,1.00
mr alfredo cristiani,president alfredo cristiani,1.00
mr alfredo cristiani,president alfredo cristiano,0.03
mr alfredo cristiani,president-elect alfredo cristiani,1.00
mr alfredo cristiani,rightist alfredo cristiani,1.00
mr alfredo cristiani,salvadoran president alfredo cristiani,1.00
mr alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
mr alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
mr alfredo cristiani,salvadoran president-elect alfredo cristiani,1.00
mr alfredo cristiani,salvdoran president alfredo cristiani,1.00
mr ambassador william walker,ambassador william walker,1.00
mr ambassador william walker,mr william walker,1.00
mr ambassador william walker,president william walker,1.00
mr ambassador william walker,u.s. ambassador william walker,1.00
mr augusto pinochet ugarte,chilean president augusto pinochet,1.00
mr augusto pinochet ugarte,general augusto pinochet,1.00
mr augusto pinochet ugarte,president augusto pinochet,1.00
mr buschmann,mr. buschmann,1.00
mr bush,president bush,1.00
mr bush,u.s. president bush,1.00
mr cristiani,mr. cristiani,1.00
mr cristiani,president cristiani,1.00
mr cristiani,president-elect cristiani,1.00
mr cristiani,pressure president cristiani,1.00
mr cristiani,salvadoran president cristiani,1.00
mr cristiani,the magnificent job president cristiani,1.00
mr errazuriz,chilean foreign minister errazuriz,1.00
mr ian alexander,dr. ian alexander,1.00
mr javier perez de cuellar,general mr. javier perez de cuellar,1.00
mr javier perez de cuellar,mr perez de cuellar,0.12
mr javier perez de cuellar,un secretary general javier perez de cuellar,1.00
mr javier perez de cuellar,un secretary general perez de cuellar,0.12
mr justiniano sagastume rodriguez,citizen justiniano sagastume rodriguez,1.00
mr larco cox,foreign minister guillermo larco cox,1.00
mr larco cox,peruvian foreign minister guillermo larco cox,1.00
mr mantilla,minister mantilla,1.00
mr manuel cepeda,comrade manuel cepeda,1.00
mr mario castro arenas,former ambassador castro arenas,0.19
mr mario castro arenas,panama mario castro arenas,1.00
mr merino,comrade merino,1.00
mr merino,vice president merino,1.00
mr merino,vice president-elect merino,1.00
mr ortega,commander ortega,1.00
mr ortega,dictator ortega,1.00
mr ortega,nicaraguan president ortega,1.00
mr ortega,president ortega,1.00
mr pastrana,mr. pastrana,1.00
mr perez de cuellar,general mr. javier perez de cuellar,0.15
mr perez de cuellar,mr javier perez de cuellar,0.15
mr perez de cuellar,un secretary general j. perez de cuellar,0.15
mr perez de cuellar,un secretary general javier perez de cuellar,0.15
mr perez de cuellar,un secretary general perez de cuellar,1.00
mr sergio buschmann,terrorist sergio buschmann,1.00
mr william walker,ambassador william walker,1.00
mr william walker,mr ambassador william walker,1.00
mr william walker,president william walker,1.00
mr william walker,u.s. ambassador william walker,1.00
mr. barco,president barco,1.00
mr. buschmann,mr buschmann,1.00
mr. carlos pizarro leongomez,general commander carlos pizarro leongomez,1.00
mr. carlos pizarro leongomez,leader carlos pizarro leongomez,1.00
mr. carlos pizarro leongomez,m-19 [19 april movement] president carlos pizarro leongomez,1.00
mr. carlos pizarro leongomez,m-19 commander carlos pizarro,0.11
mr. carlos pizarro leongomez,m-19 commander carlos pizarro leongomez,1.00
mr. carlos pizarro leongomez,m-19 leader carlos pizarro,0.11
mr. carlos pizarro leongomez,m-19 leader pizarro leongomez,0.31
mr. cristiani,mr cristiani,1.00
mr. cristiani,president cristiani,1.00
mr. cristiani,president-elect cristiani,1.00
mr. cristiani,pressure president cristiani,1.00
mr. cristiani,salvadoran president cristiani,1.00
mr. cristiani,the magnificent job president cristiani,1.00
mr. de soto,colonel soto martinez,1.00
mr. de soto,guard acalardo jara soto,1.00
mr. duarte,former president duarte,1.00
mr. duarte,president duarte,1.00
mr. pastrana,mr pastrana,1.00
mr. pizarro,commander pizarro,1.00
mr. pizarro,comrade pizarro,1.00
mr. president perez,col.ochoa perez,1.00
mr. president perez,president perez,1.00
mr. walker,ambassador walker,1.00
mrs fernandez,ambassador fernandez,1.00
mrs giroldi,major giroldi,1.00
mrs violeta de chamorro,mrs violetta chamorro,0.33
mrs violeta de chamorro,president violeta chamorro,1.00
mrs violetta chamorro,mrs violeta de chamorro,1.00
mrs violetta chamorro,president violeta chamorro,1.00
mrta chief victor polay,terrorist victor polay campos,1.00
mrta chief victor polay,"victor polay campos, alias comrade rolando",1.00
ms casonova porras,ms dolores isabel casanova porras,1.00
ms dolores isabel casanova porras,ms casonova porras,1.00
msgr arnulfo romero,archbishop oscar arnulfo romero,0.21
msgr arnulfo romero,monsignor arnulfo romero,1.00
msgr arnulfo romero,monsignor oscar arnulfo romero,0.21
msgr arnulfo romero,msgr oscar arnulfo romero,0.21
msgr arnulfo romero,salvadoran archbishop oscar arnulfo romero,0.21
msgr arturo rivera y damas,archbishop arturo rivera,0.08
msgr arturo rivera y damas,archbishop arturo rivera y damas,1.00
msgr arturo rivera y damas,archbishop rivera y damas,0.31
msgr arturo rivera y damas,monsignor arturo rivera y damas,1.00
msgr arturo rivera y damas,monsignor rivera y damas,0.31
msgr arturo rivera y damas,msgr rivera y damas,0.31
msgr arturo rivera y damas,salvadoran archbishop arturo rivera damas,0.21
msgr gregorio rosa chavez,auxiliary bishop gregorio rosa chavez,1.00
msgr gregorio rosa chavez,auxiliary bishop rosa chavez,0.11
msgr gregorio rosa chavez,bishop gregorio rosa chavez,1.00
